Region;Departamento
Andina;Antioquia
Andina;Boyacá
Andina;Caldas
Andina;Bogotá, D. C.
Andina;Cundinamarca
Andina;Huila
Andina;Norte De Santander
Andina;Quindío
Andina;Risaralda
Andina;Santander
Andina;Tolima
Caribe;Atlántico
Caribe;Bolívar
Caribe;Cesar
Caribe;Córdoba
Caribe;Magdalena
Caribe;San Andrés
Caribe;Sucre
Pacifica;Cauca
Pacifica;Chocó
Pacifica;Nariño
Pacifica;Valle Del Cauca
Orinoquia;Arauca
Orinoquia;Casanare
Orinoquia;Meta
Orinoquia;Vichada
Amazonica;Amazonas
Amazonica;Caquetá
Amazonica;Guainía
Amazonica;Guaviare
Amazonica;Putumayo
Amazonica;Vaupés
