"MES_NOMBRE","DIA","n"
"Abril","1",578
"Abril","2",450
"Abril","3",494
"Abril","4",576
"Abril","5",586
"Abril","6",620
"Abril","7",618
"Abril","8",657
"Abril","9",558
"Abril","10",637
"Abril","11",622
"Abril","12",612
"Abril","13",508
"Abril","14",497
"Abril","15",519
"Abril","16",560
"Abril","17",501
"Abril","18",562
"Abril","19",450
"Abril","20",596
"Abril","21",595
"Abril","22",485
"Abril","23",615
"Abril","24",577
"Abril","25",638
"Abril","26",622
"Abril","27",605
"Abril","28",682
"Abril","29",577
"Abril","30",553
"Agosto","1",666
"Agosto","2",619
"Agosto","3",645
"Agosto","4",789
"Agosto","5",626
"Agosto","6",643
"Agosto","7",436
"Agosto","8",673
"Agosto","9",604
"Agosto","10",602
"Agosto","11",670
"Agosto","12",531
"Agosto","13",583
"Agosto","14",613
"Agosto","15",607
"Agosto","16",638
"Agosto","17",550
"Agosto","18",676
"Agosto","19",556
"Agosto","20",496
"Agosto","21",520
"Agosto","22",557
"Agosto","23",582
"Agosto","24",640
"Agosto","25",626
"Agosto","26",589
"Agosto","27",556
"Agosto","28",642
"Agosto","29",676
"Agosto","30",524
"Agosto","31",512
"Diciembre","1",616
"Diciembre","2",587
"Diciembre","3",595
"Diciembre","4",567
"Diciembre","5",711
"Diciembre","6",569
"Diciembre","7",636
"Diciembre","8",397
"Diciembre","9",575
"Diciembre","10",561
"Diciembre","11",579
"Diciembre","12",668
"Diciembre","13",532
"Diciembre","14",558
"Diciembre","15",615
"Diciembre","16",655
"Diciembre","17",583
"Diciembre","18",618
"Diciembre","19",630
"Diciembre","20",629
"Diciembre","21",636
"Diciembre","22",655
"Diciembre","23",613
"Diciembre","24",527
"Diciembre","25",349
"Diciembre","26",510
"Diciembre","27",447
"Diciembre","28",484
"Diciembre","29",515
"Diciembre","30",486
"Diciembre","31",379
"Enero","1",341
"Enero","2",383
"Enero","3",412
"Enero","4",379
"Enero","5",411
"Enero","6",387
"Enero","7",402
"Enero","8",342
"Enero","9",398
"Enero","10",453
"Enero","11",419
"Enero","12",412
"Enero","13",573
"Enero","14",457
"Enero","15",515
"Enero","16",605
"Enero","17",529
"Enero","18",517
"Enero","19",557
"Enero","20",625
"Enero","21",520
"Enero","22",572
"Enero","23",533
"Enero","24",524
"Enero","25",485
"Enero","26",556
"Enero","27",639
"Enero","28",505
"Enero","29",499
"Enero","30",511
"Enero","31",560
"Febrero","1",538
"Febrero","2",631
"Febrero","3",646
"Febrero","4",519
"Febrero","5",582
"Febrero","6",659
"Febrero","7",601
"Febrero","8",563
"Febrero","9",587
"Febrero","10",678
"Febrero","11",562
"Febrero","12",580
"Febrero","13",672
"Febrero","14",545
"Febrero","15",553
"Febrero","16",587
"Febrero","17",684
"Febrero","18",582
"Febrero","19",582
"Febrero","20",664
"Febrero","21",561
"Febrero","22",590
"Febrero","23",587
"Febrero","24",601
"Febrero","25",570
"Febrero","26",544
"Febrero","27",595
"Febrero","28",576
"Febrero","29",131
"Julio","1",519
"Julio","2",503
"Julio","3",483
"Julio","4",555
"Julio","5",533
"Julio","6",534
"Julio","7",633
"Julio","8",576
"Julio","9",601
"Julio","10",541
"Julio","11",567
"Julio","12",539
"Julio","13",568
"Julio","14",654
"Julio","15",639
"Julio","16",576
"Julio","17",593
"Julio","18",645
"Julio","19",622
"Julio","20",382
"Julio","21",641
"Julio","22",512
"Julio","23",587
"Julio","24",576
"Julio","25",624
"Julio","26",595
"Julio","27",627
"Julio","28",667
"Julio","29",593
"Julio","30",574
"Julio","31",585
"Junio","1",579
"Junio","2",578
"Junio","3",650
"Junio","4",508
"Junio","5",546
"Junio","6",579
"Junio","7",631
"Junio","8",492
"Junio","9",620
"Junio","10",574
"Junio","11",533
"Junio","12",575
"Junio","13",601
"Junio","14",609
"Junio","15",534
"Junio","16",590
"Junio","17",540
"Junio","18",596
"Junio","19",514
"Junio","20",584
"Junio","21",540
"Junio","22",582
"Junio","23",584
"Junio","24",534
"Junio","25",550
"Junio","26",475
"Junio","27",563
"Junio","28",508
"Junio","29",459
"Junio","30",500
"Marzo","1",633
"Marzo","2",522
"Marzo","3",627
"Marzo","4",589
"Marzo","5",642
"Marzo","6",576
"Marzo","7",644
"Marzo","8",589
"Marzo","9",561
"Marzo","10",680
"Marzo","11",580
"Marzo","12",605
"Marzo","13",548
"Marzo","14",660
"Marzo","15",624
"Marzo","16",605
"Marzo","17",686
"Marzo","18",554
"Marzo","19",535
"Marzo","20",557
"Marzo","21",618
"Marzo","22",521
"Marzo","23",492
"Marzo","24",520
"Marzo","25",473
"Marzo","26",524
"Marzo","27",531
"Marzo","28",635
"Marzo","29",501
"Marzo","30",543
"Marzo","31",557
"Mayo","1",392
"Mayo","2",670
"Mayo","3",573
"Mayo","4",588
"Mayo","5",622
"Mayo","6",581
"Mayo","7",579
"Mayo","8",583
"Mayo","9",584
"Mayo","10",600
"Mayo","11",639
"Mayo","12",669
"Mayo","13",607
"Mayo","14",506
"Mayo","15",632
"Mayo","16",630
"Mayo","17",586
"Mayo","18",536
"Mayo","19",714
"Mayo","20",508
"Mayo","21",591
"Mayo","22",626
"Mayo","23",659
"Mayo","24",547
"Mayo","25",611
"Mayo","26",655
"Mayo","27",534
"Mayo","28",569
"Mayo","29",492
"Mayo","30",587
"Mayo","31",507
"Noviembre","1",577
"Noviembre","2",524
"Noviembre","3",590
"Noviembre","4",557
"Noviembre","5",505
"Noviembre","6",546
"Noviembre","7",548
"Noviembre","8",555
"Noviembre","9",530
"Noviembre","10",589
"Noviembre","11",556
"Noviembre","12",494
"Noviembre","13",531
"Noviembre","14",561
"Noviembre","15",585
"Noviembre","16",562
"Noviembre","17",616
"Noviembre","18",583
"Noviembre","19",560
"Noviembre","20",560
"Noviembre","21",627
"Noviembre","22",555
"Noviembre","23",603
"Noviembre","24",606
"Noviembre","25",597
"Noviembre","26",558
"Noviembre","27",598
"Noviembre","28",613
"Noviembre","29",514
"Noviembre","30",502
"Octubre","1",575
"Octubre","2",630
"Octubre","3",642
"Octubre","4",602
"Octubre","5",625
"Octubre","6",625
"Octubre","7",578
"Octubre","8",521
"Octubre","9",546
"Octubre","10",608
"Octubre","11",544
"Octubre","12",514
"Octubre","13",566
"Octubre","14",562
"Octubre","15",482
"Octubre","16",514
"Octubre","17",590
"Octubre","18",570
"Octubre","19",566
"Octubre","20",626
"Octubre","21",590
"Octubre","22",549
"Octubre","23",561
"Octubre","24",605
"Octubre","25",598
"Octubre","26",524
"Octubre","27",618
"Octubre","28",569
"Octubre","29",598
"Octubre","30",650
"Octubre","31",679
"Septiembre","1",651
"Septiembre","2",547
"Septiembre","3",585
"Septiembre","4",620
"Septiembre","5",642
"Septiembre","6",614
"Septiembre","7",626
"Septiembre","8",625
"Septiembre","9",535
"Septiembre","10",580
"Septiembre","11",643
"Septiembre","12",661
"Septiembre","13",543
"Septiembre","14",644
"Septiembre","15",655
"Septiembre","16",600
"Septiembre","17",661
"Septiembre","18",664
"Septiembre","19",636
"Septiembre","20",538
"Septiembre","21",620
"Septiembre","22",612
"Septiembre","23",575
"Septiembre","24",544
"Septiembre","25",594
"Septiembre","26",600
"Septiembre","27",582
"Septiembre","28",614
"Septiembre","29",644
"Septiembre","30",587
